Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
Peat,Peat soils,129.5,1272,1,1,-2.278318738104361,-0.3185035489569713,-54.834652,6.93993
Peat,Peat soils,31.2,2497,1,3,-2.929054533471327,1.1645098717771885,-86.24019,40.56083
Fine loamy,Luvisol: Well drained mineral soils,132.3,1202,3,2,1.6256353017190985,0.5645767782764213,53.90361,43.76788
Fine loamy,Luvisol: Well drained mineral soils,61.8,844,3,2,1.9610338126741,-0.6754697144118204,66.40855,-47.159386
Fine loamy,Surface-water Gley: Poorly drained mineral soil,132.0,1146,2,0,-0.2689240124840837,-0.037549829115027133,-4.870941,6.0745955
Fine loamy,Surface-water Gley: Poorly drained mineral soil,104.9,1057,2,0,-0.17153161101642622,-0.4236543168749207,1.7349707,-31.207472
Peat,Peat soils,28.9,1136,1,1,-2.042868897385214,-1.3896642769206853,-72.76049,-20.2302
Fine loamy,Brown Earth: Well drained mineral soils,100.3,963,2,0,-0.10382572631635156,-0.6361661575149692,10.449951,-43.867336
Fine loamy,Surface-water Gley: Poorly drained mineral soil,100.5,847,2,0,-0.02887445348188855,-0.8506426841571039,17.752256,-63.832916
Peat,Peat soils,190.8,2084,1,3,-2.894742001256291,1.692534104626652,-76.24257,41.196156
Fine loamy,Brown Earth: Well drained mineral soils,2.1,809,3,2,2.0711104527026416,-1.225987328937519,51.693817,-55.43718
Fine loamy,Surface-water Gley: Poorly drained mineral soil,166.0,1555,2,0,-0.5839844892353061,1.0007907322987255,-17.824936,32.428753
Fine loamy,Brown Earth: Well drained mineral soils,155.8,1407,3,2,1.4582676848532836,1.1375184515604033,34.058666,54.5389
Peat,Peat soils,1.5,1138,3,2,1.8585810795424678,-0.6179538268948127,14.249367,-8.7307825
Fine loamy,Brown Earth: Well drained mineral soils,58.9,884,2,0,0.008008837129244384,-1.1198889476545453,-0.13357642,-71.07184
Peat,Peat soils,306.1,1702,1,3,-2.81570267329879,1.9181854766383775,-59.91605,47.404083
Peat,Peat soils,68.0,1665,1,1,-2.4432320624585726,-0.08631052772229708,-80.07293,12.620128
All,River alluvium,84.1,991,0,1,-3.960924734896862,-1.7064219672630165,-98.89171,-23.36963
Fine loamy,Surface-water Gley: Poorly drained mineral soil,96.6,857,3,2,1.901669886032379,-0.36835455977231935,96.797,-6.9429216
Peat,Peat soils,61.3,1200,1,1,-2.1318017188166887,-1.0070487205776193,-63.048847,-11.243255
All,Lake alluvium,11.2,1105,3,2,1.8657902959820616,-0.6005778109582022,18.106337,-12.318684
Fine loamy,Surface-water Gley: Poorly drained mineral soil,71.1,1122,2,0,-0.1642263220884912,-0.5773300390686077,-16.008781,-32.129745
Coarse loamy,Brown Earth: Well drained mineral soils,61.4,1426,2,0,-0.3472210484234246,-0.08984620729563131,-30.0139,5.0482583
Peat,Peat soils,46.1,1044,1,1,-2.008365632165813,-1.4212332627510746,-62.475407,-32.549976
Fine loamy,Luvisol: Well drained mineral soils,73.1,938,2,0,-0.047800891374309984,-0.903854673148417,4.6014814,-58.082527
Peat,Peat soils,92.5,1944,2,0,-0.7287406378597141,1.127981331952395,-31.963041,34.54428
Peat,Lithosols: Stony mineral soils often overlying bedrock,348.0,1465,2,0,-0.7919709650823603,2.312642771831125,-13.520524,61.642517
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,77.7,1091,3,2,1.7775456369660452,-0.08606613610699987,55.152695,2.645921
Fine loamy,Luvisol: Well drained mineral soils,62.8,911,3,2,1.9161103801590178,-0.5425227481091996,64.182335,-30.936222
Fine loamy,Surface-water Gley: Poorly drained mineral soil,22.6,1253,3,2,1.753104925433921,-0.2321879088336558,15.387939,7.8822045
Peat,Peat soils,78.0,1131,1,1,-2.1114857458603615,-0.9998344316420062,-54.81821,-18.172714
Coarse loamy,Brown Earth: Well drained mineral soils,58.5,1025,2,0,-0.08286610189585986,-0.8604644779185133,-11.939469,-52.189507
All,River alluvium,30.0,1570,0,1,-4.257318135266463,-1.067563760039984,-106.40138,-10.959654
Fine loamy,Brown Earth: Well drained mineral soils,144.7,1185,2,0,-0.312808596259484,0.13834634641381127,-5.404418,8.856286
Fine loamy,Brown Earth: Well drained mineral soils,26.2,997,3,2,1.9138918433610366,-0.6798382998165714,36.856384,-31.838491
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,28.8,1682,3,2,1.4657579355947385,0.6174194222014484,12.247176,41.90006
