Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster_Agglo,Cluster_KMeans,UMAP1,UMAP2
Fine loamy,Luvisol: Well drained mineral soils,0.6157625914310644,-1.0470680480546775,0,0,-1.6628306394857417,2.3842374085689357,0,0,13.186346,7.9152217
All,River alluvium,-0.030536453645327182,-0.60876754346185,1,1,-0.5782310898165228,2.030536453645327,0,0,10.470512,15.686503
Fine loamy,Luvisol: Well drained mineral soils,0.5437013738615715,-0.5885826518029699,3,3,-1.1322840256645414,-0.5437013738615715,0,1,-8.492995,0.5321543
Fine loamy,Brown Earth: Well drained mineral soils,0.8094271136490772,-0.551096424436478,3,3,-1.3605235380855552,-0.8094271136490772,0,1,-8.4088545,1.52811
All,River alluvium,-2.000960371561156,0.6945997465115574,1,1,2.695560118072714,4.000960371561156,0,0,9.110398,12.92636
Coarse loamy,Brown Earth: Well drained mineral soils,-0.564239846269386,-0.30022705667610977,0,0,0.2640127895932762,3.564239846269386,0,0,15.904091,-0.6271048
Fine loamy,Brown Earth: Well drained mineral soils,-0.17691080183336017,-0.5626306482415524,3,3,-0.38571984640819224,0.17691080183336017,0,1,-7.4813414,-3.1975362
Peat,Peat soils,0.5009150259296847,2.5544933350798047,3,3,2.05357830915012,-0.5009150259296847,0,1,-3.6578698,0.5360665
Fine loamy,Brown Earth: Well drained mineral soils,-0.9200421080187584,-0.3723159554578248,0,0,0.5477261525609336,3.9200421080187584,0,0,14.389746,-3.26534
Peat,Peat soils,4.153517991483369,0.17555967528320934,2,2,-3.97795831620016,-3.153517991483369,1,1,0.8310292,7.8525825
Fine loamy,Brown Earth: Well drained mineral soils,2.0205872454874423,-0.8798218028810986,0,0,-2.900409048368541,0.9794127545125577,0,1,8.489673,7.936394
Peat,Peat soils,-0.4674075851603796,0.5677232846557391,2,2,1.0351308698161188,1.4674075851603796,0,0,1.689163,15.506673
Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",-1.841074545078843,-0.27427505311469236,0,0,1.5667994919641508,4.841074545078843,0,0,8.161178,-4.2619505
Fine loamy,Brown Earth: Well drained mineral soils,-1.8478302842259828,-0.24832304955327497,0,0,1.599507234672708,4.847830284225983,0,0,8.118161,-4.1338563
Peat,Peat soils,-1.1722563695119845,1.6231047628200468,3,3,2.7953611323320313,1.1722563695119845,0,0,-0.467284,-0.1089887
All,River alluvium,-0.9222940210678052,-1.0326502682983343,1,1,-0.11035624723052906,2.9222940210678052,0,0,11.441283,15.069027
Fine loamy,Luvisol: Well drained mineral soils,0.09331876405223918,-0.6116510994131187,0,0,-0.7049698634653578,2.9066812359477607,0,0,16.861618,5.413673
Coarse loamy,Brown Earth: Well drained mineral soils,-0.6700797595745791,-0.6260688791694616,0,0,0.04401088040511747,3.670079759574579,0,0,17.176165,-0.808877
Fine loamy,Luvisol: Well drained mineral soils,-0.21519332366715346,-0.6260688791694616,3,3,-0.41087555550230814,0.21519332366715346,0,1,-7.582307,-3.264056
Fine loamy,Luvisol: Well drained mineral soils,0.06854772051272573,-0.7817809005379661,0,0,-0.8503286210506918,2.9314522794872744,0,0,17.153936,5.9882436
Peat,Peat soils,4.05893764342341,1.1992220379835625,2,2,-2.859715605439847,-3.05893764342341,1,1,0.86179376,8.4611
Fine loamy,Brown Earth: Well drained mineral soils,-1.4807684572313773,-0.3751995114090934,3,3,1.105568945822284,1.4807684572313773,0,0,0.2525413,-3.782557
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,2.0907656385566273,0.0804023288913455,0,0,-2.0103633096652818,0.9092343614433727,0,0,9.564807,6.8952274
Fine loamy,Brown Earth: Well drained mineral soils,-1.4920280224766105,-0.349247507847676,3,3,1.1427805146289345,1.4920280224766105,0,0,0.28554156,-3.7116988
Fine loamy,Brown Earth: Well drained mineral soils,-1.8635936755693097,-0.29734350072484117,0,0,1.5662501748444684,4.86359367556931,0,0,8.114921,-4.322916
Fine loamy,Luvisol: Well drained mineral soils,0.2104182426026653,-0.3751995114090934,0,0,-0.5856177540117588,2.7895817573973347,0,0,16.185629,4.9242363
Fine loamy,Brown Earth: Well drained mineral soils,-1.985196980217829,-0.5914662077542384,3,3,1.3937307724635906,1.985196980217829,0,0,1.4850416,-3.0584457
Peat,Peat soils,-2.0212275890025757,0.7609215333907353,2,2,2.782149122393311,3.0212275890025757,0,0,5.2862687,15.682265
All,River alluvium,-0.929716551668768,-1.0470680480546775,1,1,-0.11735149638590947,2.929716551668768,0,0,11.43754,15.064196
Fine loamy,Brown Earth: Well drained mineral soils,0.9963358967199503,-0.19065193052790297,0,0,-1.1869878272478531,2.00366410328005,0,0,12.90079,6.5438685
Peat,Peat soils,2.2123689432051474,2.3266924149295853,2,2,0.11432347172443791,-1.2123689432051474,0,1,0.8446248,12.174311
Peat,Peat soils,0.4896554606844514,0.11500500030656871,2,2,-0.37465046037788274,0.5103445393155486,0,1,-0.6131499,13.552479
Peat,Peat soils,-1.7239750665284166,3.6473610406106047,2,2,5.3713361071390215,2.723975066528417,0,0,7.226968,0.5709778
Fine loamy,Luvisol: Well drained mineral soils,0.5527090260577582,-0.08684391628223333,0,0,-0.6395529423399915,2.4472909739422417,0,0,14.580232,5.1138983
Fine loamy,Luvisol: Well drained mineral soils,-1.0348896735201383,-1.1191569468363924,0,0,-0.08426727331625417,4.034889673520138,0,0,18.240854,-3.501383
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.545953286910618,-0.24832304955327497,3,3,-0.794276336463893,-0.545953286910618,0,1,-8.014767,-0.037306722
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.0643151493810271,-0.5049595292161805,3,3,-0.44064437983515337,0.0643151493810271,0,1,-7.6659365,-2.6506526
Peat,Peat soils,-1.77576906665649,-0.27715860906596096,2,2,1.498610457590529,2.77576906665649,0,0,3.8214583,18.058834
Fine loamy,Brown Earth: Well drained mineral soils,-0.1679031496371737,-0.7760137886354289,3,3,-0.6081106389982552,0.1679031496371737,0,1,-8.23673,-2.6087267
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.16339932353908032,-1.1105062789825866,3,3,-0.9471069554435063,0.16339932353908032,0,1,-8.943757,-1.8969318
Peat,Peat soils,1.870078159750055,2.4564524327366724,2,2,0.5863742729866173,-0.8700781597500551,0,1,0.9642302,12.783623
Fine loamy,Brown Earth: Well drained mineral soils,-2.379281763800995,-1.2200814051307933,0,0,1.1592003586702018,5.379281763800995,0,0,8.670396,-6.1420274
Fine loamy,Surface-water Gley: Poorly drained mineral soil,1.3116037235864828,0.9310513345155828,3,3,-0.38055238907090005,-1.3116037235864828,0,1,-5.976172,1.6331965
Fine loamy,Brown Earth: Well drained mineral soils,1.0819085925837237,0.5042850537278298,0,0,-0.5776235388558939,1.9180914074162763,0,0,13.727864,4.729648
Peat,Peat soils,-2.392793242095275,-0.27139149716342376,0,0,2.1214017449318514,5.392793242095275,0,0,6.648869,-2.3503928
Fine loamy,Brown Earth: Well drained mineral soils,-1.1001951519424915,-1.0038147087856484,3,3,0.09638044315684313,1.1001951519424915,0,0,-4.4641895,-6.4601927
Peat,Peat soils,4.466533905300857,1.3549340593520671,2,2,-3.1115998459487892,-3.4665339053008566,1,1,0.7643452,8.175755
Peat,Peat soils,-0.8952710644792452,1.2482424891551287,2,2,2.143513553634374,1.8952710644792452,0,0,3.4085908,16.028923
All,River alluvium,-0.532713063582733,-0.6952742219999081,1,1,-0.1625611584171751,2.532713063582733,0,0,10.933789,15.198229
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.2512239324519002,-1.0816707194699007,0,0,-0.8304467870180005,3.2512239324519,0,0,18.582375,4.985166
Peat,Peat soils,-1.0461492387653717,-0.09261102818477053,2,2,0.9535382105806012,2.0461492387653717,0,0,1.7431506,17.660475
All,Lake alluvium,-2.174357676337749,-0.3665488435552876,0,0,1.8078088327824613,5.174357676337749,0,0,6.9270096,-3.388774
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.8254617599587989,-0.3175283923837214,3,3,0.5079333675750775,0.8254617599587989,0,0,-2.9661343,-4.4983215
Coarse loamy,Brown Earth: Well drained mineral soils,-1.0438973257163249,0.5590726168019332,3,3,1.602969942518258,1.0438973257163249,0,0,-0.7172731,-1.9580308
Peat,Peat soils,-1.388440022220464,-0.5424457565826722,2,2,0.8459942656377918,2.388440022220464,0,0,1.7703542,18.550285
Fine loamy,Luvisol: Well drained mineral soils,-0.7804234989778657,-0.8481026874171439,3,3,-0.06767918843927823,0.7804234989778657,0,1,-5.6000547,-5.945254
Peat,Peat soils,-0.34355236746281326,2.0527545995590684,3,3,2.3963069670218817,0.34355236746281326,0,0,-1.4816489,-0.3059238
Peat,Lithosols: Stony mineral soils often overlying bedrock,5.4100854728514065,0.6715312989014086,3,3,-4.738554173949998,-5.4100854728514065,1,1,-3.111184,6.3057523
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.676835498721719,-0.40691862687304803,0,0,0.26991687184867097,3.676835498721719,0,0,16.101143,-1.4075185
Fine loamy,Luvisol: Well drained mineral soils,-1.0123705430296717,-0.9259586981013961,0,0,0.08641184492827558,4.012370543029672,0,0,17.1554,-3.4311805
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-1.9176395887464293,0.0602174372324653,0,0,1.9778570259788946,4.917639588746429,0,0,7.7531276,-2.5900857
Peat,Peat soils,-0.6700797595745791,-0.29157638882230397,2,2,0.37850337075227514,1.670079759574579,0,0,-0.6466233,16.966476
